DataExtractDate,ReportPeriod,Terminal,Arrival_Departure,Domestic_International,Passenger_Count
05/01/2014 12:00:00 AM,05/01/2006 12:00:00 AM,Imperial Terminal,Departure,International,45
05/01/2014 12:00:00 AM,05/01/2006 12:00:00 AM,Misc. Terminal,Arrival,Domestic,286
05/01/2014 12:00:00 AM,05/01/2006 12:00:00 AM,Misc. Terminal,Departure,Domestic,254
05/01/2014 12:00:00 AM,05/01/2006 12:00:00 AM,Terminal 1,Arrival,Domestic,449152
05/01/2014 12:00:00 AM,05/01/2006 12:00:00 AM,Terminal 1,Departure,Domestic,435464
05/01/2014 12:00:00 AM,05/01/2006 12:00:00 AM,Terminal 1,Departure,International,577
05/01/2014 12:00:00 AM,05/01/2006 12:00:00 AM,Terminal 2,Arrival,Domestic,103178
05/01/2014 12:00:00 AM,05/01/2006 12:00:00 AM,Terminal 2,Arrival,International,154867
05/01/2014 12:00:00 AM,05/01/2006 12:00:00 AM,Terminal 2,Departure,Domestic,102882
05/01/2014 12:00:00 AM,05/01/2006 12:00:00 AM,Terminal 2,Departure,International,160172
05/01/2014 12:00:00 AM,05/01/2006 12:00:00 AM,Terminal 3,Arrival,Domestic,141814
05/01/2014 12:00:00 AM,05/01/2006 12:00:00 AM,Terminal 3,Arrival,International,21559
05/01/2014 12:00:00 AM,05/01/2006 12:00:00 AM,Terminal 3,Departure,Domestic,145835
05/01/2014 12:00:00 AM,05/01/2006 12:00:00 AM,Terminal 3,Departure,International,56538
05/01/2014 12:00:00 AM,05/01/2006 12:00:00 AM,Terminal 4,Arrival,Domestic,421319
05/01/2014 12:00:00 AM,05/01/2006 12:00:00 AM,Terminal 4,Arrival,International,63381
05/01/2014 12:00:00 AM,05/01/2006 12:00:00 AM,Terminal 4,Departure,Domestic,416106
05/01/2014 12:00:00 AM,05/01/2006 12:00:00 AM,Terminal 4,Departure,International,49805
05/01/2014 12:00:00 AM,05/01/2006 12:00:00 AM,Terminal 5,Arrival,Domestic,150001
